99227,KEN2210,8.0,13/01/11
99227,KEN2220,9.0,03/01/11
99227,KEN2230,7.0,31/01/11
99227,KEN2410,7.0,11/04/11
99227,KEN2420,8.0,26/04/11
99227,KEN2430,8.0,07/04/11
99227,KEN2510,7.0,14/06/11
99227,KEN2520,9.0,17/06/11
99227,KEN2530,7.0,09/06/11
99227,KEN2600,7.0,12/07/11
90387,KEN1110,3.0,11/11/10
90387,KEN1120,2.0,02/11/10
81474,KEN1110,6.0,11/11/10
81474,KEN1130,3.0,08/02/11
81474,KEN1210,5.0,21/02/11
81474,KEN1230,6.0,09/02/12
81474,KEN1510,6.0,18/07/11
81474,KEN1530,5.0,15/08/11
81474,KEN2210,6.0,15/02/11
81474,KEN2300,6.0,17/10/11
81474,KEN2410,5.0,17/04/12
81474,KEN2420,5.0,18/07/11
80811,KEN2110,7.0,18/01/11
80811,KEN2120,6.0,22/02/11
80811,KEN2130,6.0,18/11/10
80811,KEN2210,6.0,13/01/11
80811,KEN2220,7.0,03/01/11
80811,KEN2230,6.0,27/01/11
80811,KEN2300,7.0,03/02/11
80811,KEN2410,7.0,11/04/11
80811,KEN2420,8.0,26/04/11
80811,KEN2430,8.0,07/04/11
80811,KEN2510,8.0,14/06/11
80811,KEN2520,7.0,17/06/11
80811,KEN2530,7.0,09/06/11
80811,KEN2600,8.0,12/07/11
80811,KEN1520,6.0,20/06/11
80811,KEN1510,7.0,22/06/11
40602,KEN2110,7.0,18/01/11
40602,KEN2120,6.0,29/11/10
40602,KEN2130,6.0,18/11/10
40602,KEN2210,8.0,13/01/11
40602,KEN2220,8.0,03/01/11
40602,KEN2230,6.0,31/01/11
40602,KEN2300,7.0,03/02/11
40602,KEN2410,7.0,11/04/11
40602,KEN2420,7.0,26/04/11
40602,KEN2430,8.0,07/04/11
40602,KEN2510,8.0,14/06/11
40602,KEN2520,8.0,17/06/11
40602,KEN2530,6.0,09/06/11
40602,KEN2600,7.0,12/07/11
1812,KEN1110,6.0,17/02/11
1812,KEN2110,5.0,24/02/11
1812,KEN1130,5.0,08/02/11
1812,KEN1210,1.0,21/02/11
1812,KEN1230,3.0,10/02/11
1812,KEN1530,5.0,15/08/11
1812,KEN2300,7.0,03/02/11
1812,KEN1510,1.0,22/06/11
52965,KEN2110,7.0,18/01/11
52965,KEN2120,6.0,29/11/10
52965,KEN2130,8.0,18/11/10
52965,KEN2210,7.0,13/01/11
52965,KEN2220,8.0,03/01/11
52965,KEN2230,9.0,28/02/11
52965,KEN2300,8.0,03/02/11
52965,KEN2410,7.0,11/04/11
52965,KEN2420,7.0,26/04/11
52965,KEN2430,8.0,07/04/11
52965,KEN2510,9.0,14/06/11
52965,KEN2520,9.0,17/06/11
52965,KEN2530,7.0,09/06/11
39084,KEN2110,6.0,18/01/11
39084,KEN2120,6.0,29/11/10
39084,KEN2130,6.0,18/11/10
39084,KEN2210,7.0,13/01/11
39084,KEN2220,6.0,08/02/11
39084,KEN2230,6.0,28/02/11
39084,KEN2300,6.0,17/10/11
39084,KEN2410,6.0,11/04/11
39084,KEN2420,6.0,26/04/11
39084,KEN2430,7.0,07/04/11
39084,KEN2510,7.0,14/06/11
39084,KEN2520,6.0,17/06/11
39084,KEN2530,6.0,18/07/11
39084,KEN1130,7.0,02/11/10
39084,KEN1430,9.0,08/07/11
39084,KEN1510,6.0,13/02/12
66404,KEN2110,9.0,18/01/11
66404,KEN2120,7.0,29/11/10
66404,KEN2130,7.0,18/11/10
66404,KEN2210,8.0,13/01/11
66404,KEN2220,6.0,03/01/11
66404,KEN2230,9.0,27/01/11
66404,KEN2300,7.0,03/02/11
66404,KEN2410,7.0,11/04/11
66404,KEN2420,8.0,26/04/11
66404,KEN2430,8.0,07/04/11
66404,KEN2510,10.0,14/06/11
66404,KEN2520,6.0,17/06/11
66404,KEN2530,6.0,09/06/11
66404,KEN2600,9.0,12/07/11
3681,KEN1110,7.0,11/11/10
3681,KEN1120,7.0,02/11/10
3681,KEN1130,6.0,02/11/10
3681,KEN1300,9.0,03/02/11
3681,KEN1210,5.0,13/01/11
3681,KEN1220,6.0,06/01/11
3681,KEN1230,8.0,06/01/11
3681,KEN1410,7.0,14/04/11
3681,KEN1420,6.0,18/07/11
3681,KEN1430,8.0,11/04/11
3681,KEN1510,8.0,22/06/11
3681,KEN1520,6.0,20/06/11
3681,KEN1530,8.0,23/06/11
3681,KEN1600,8.0,04/07/11
43421,KEN1130,3.0,02/11/10
79783,KEN2110,7.0,18/01/11
79783,KEN2120,7.0,29/11/10
79783,KEN2130,5.0,08/02/11
79783,KEN2210,7.0,13/01/11
79783,KEN2220,6.0,03/01/11
79783,KEN2230,6.0,31/01/11
79783,KEN2300,7.0,03/02/11
79783,KEN2410,7.0,11/04/11
79783,KEN2420,8.0,26/04/11
79783,KEN2430,7.0,07/04/11
79783,KEN2510,9.0,14/06/11
79783,KEN2520,6.0,17/06/11
79783,KEN2530,7.0,09/06/11
79783,KEN2600,8.0,12/07/11
79783,KEN1510,6.0,22/06/11
23216,KEN2110,5.0,24/02/11
23216,KEN2120,6.0,29/11/10
23216,KEN2130,8.0,18/11/10
23216,KEN2210,8.0,13/01/11
23216,KEN2220,8.0,03/01/11
23216,KEN2230,10.0,28/02/11
23216,KEN2300,8.0,03/02/11
23216,KEN2410,8.0,11/04/11
23216,KEN2420,7.0,26/04/11
23216,KEN2430,8.0,07/04/11
23216,KEN2510,7.0,14/06/11
23216,KEN2520,8.0,17/06/11
