,KEN1110,KEN1120,KEN1130,KEN1210,KEN1220,KEN1410,KEN1420,KEN2110,KEN2120,KEN2130,KEN2220,KEN2230,KEN2240,KEN2410,KEN2420,KEN2430,KEN2510,KEN2520,KEN2530,KEN2600,
30745,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,6.0,7.0,10.0,8.0,8.0,9.0,7.0,7.0,9.0,8.0,8.0,-1.0,
31067,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,6.0,5.0,7.0,-1.0,-1.0,9.0,6.0,-1.0,-1.0,
31078,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,6.0,5.0,6.0,4.0,6.0,7.0,7.0,6.0,8.0,6.0,6.0,-1.0,
31821,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
32041,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,2.0,-1.0,9.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,
32399,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
33429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,3.0,6.0,
33729,3.0,3.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
33963,7.0,6.0,6.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,8.0,9.0,8.0,7.0,7.0,
34668,6.0,7.0,8.0,7.0,6.0,8.0,6.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,4.0,-1.0,7.0,5.0,1.0,8.5,
34679,10.0,8.0,8.0,9.0,9.0,8.0,2.0,8.0,6.0,9.0,9.0,8.0,1.0,10.0,10.0,10.0,8.0,5.0,4.0,7.5,
